Date,Open,High,Low,Close,Adj Close,Volume
2019-01-09,24.639000,24.730000,24.570000,24.730000,24.730000,3000
2019-01-10,24.620001,24.658001,24.400000,24.570000,24.570000,11200
2019-01-11,24.407000,24.426001,24.389999,24.389999,24.389999,700
2019-01-14,24.230000,24.459999,24.180000,24.459999,24.459999,3400
2019-01-15,24.389999,24.450001,24.389999,24.450001,24.450001,700
2019-01-16,24.459999,24.459999,24.459999,24.459999,24.459999,100
2019-01-17,24.350000,24.350000,24.350000,24.350000,24.350000,400
2019-01-18,24.980000,24.980000,24.787001,24.979000,24.979000,2300
2019-01-22,24.700001,24.700001,24.309999,24.665001,24.665001,5600
2019-01-23,24.870001,24.900000,24.590000,24.665001,24.665001,7000
2019-01-24,24.620001,24.716000,24.620001,24.690001,24.690001,1100
2019-01-25,25.080000,25.230000,25.080000,25.160000,25.160000,4000
2019-01-28,25.170000,25.170000,25.170000,25.170000,25.170000,600
2019-01-29,25.129999,25.160000,25.129999,25.160000,25.160000,1200
2019-01-30,25.139999,25.139999,24.830000,24.997999,24.997999,2900
2019-01-31,25.030001,25.100000,25.030001,25.100000,25.100000,700
2019-02-01,25.100000,25.100000,25.000000,25.042000,25.042000,6100
2019-02-04,24.879999,25.059999,24.840000,25.059999,25.059999,4600
2019-02-05,25.230000,25.400000,25.230000,25.400000,25.400000,1800
2019-02-06,25.400000,25.400000,25.400000,25.400000,25.400000,100
2019-02-07,24.809999,24.809999,24.500000,24.570000,24.570000,8000
2019-02-08,24.360001,24.360001,24.190001,24.339001,24.339001,5200
