Date,Open,High,Low,Close,Adj Close,Volume
2019-01-09,257.559998,258.910004,256.190002,257.970001,257.970001,95006600
2019-01-10,256.260010,259.160004,255.500000,258.880005,258.880005,96823900
2019-01-11,257.679993,259.010010,257.029999,258.980011,258.980011,73858100
2019-01-14,256.859985,258.299988,256.410004,257.399994,257.399994,70908200
2019-01-15,257.820007,260.700012,257.809998,260.350006,260.350006,85208300
2019-01-16,260.829987,261.970001,260.600006,260.980011,260.980011,77636700
2019-01-17,260.010010,263.920013,259.959991,262.959991,262.959991,96118400
2019-01-18,264.980011,266.980011,263.000000,266.459991,266.459991,127900300
2019-01-22,264.820007,265.059998,261.059998,262.859985,262.859985,115531200
2019-01-23,264.010010,264.790009,260.660004,263.410004,263.410004,86030300
2019-01-24,263.209991,264.200012,262.079987,263.549988,263.549988,59204100
2019-01-25,265.609985,266.700012,263.660004,265.779999,265.779999,96883400
2019-01-28,263.390015,263.829987,261.790009,263.760010,263.760010,85613700
2019-01-29,263.920013,264.549988,262.480011,263.410004,263.410004,66136300
2019-01-30,265.100006,268.519989,264.250000,267.579987,267.579987,92473700
2019-01-31,267.510010,270.470001,267.269989,269.929993,269.929993,104012100
2019-02-01,270.149994,271.200012,269.179993,270.059998,270.059998,85782500
2019-02-04,270.109985,272.029999,269.359985,271.959991,271.959991,60744800
2019-02-05,272.440002,273.440002,271.880005,273.100006,273.100006,79552800
2019-02-06,272.790009,273.339996,271.920013,272.739990,272.739990,58347800
2019-02-07,270.940002,271.549988,268.290009,270.140015,270.140015,95482000
2019-02-08,268.750000,270.579987,267.829987,270.470001,270.470001,75755700
