Date,spy,spy_lag1,sp500,nasdaq,dji,cac40,daxi,aord,hsi,nikkei,Price
2019-01-09,-1.2999879999999848,,,,,,,15.5,225.03125,60.75976599999922,257.559998
2019-01-10,1.419983000000002,-1.2999879999999848,-6.489990000000034,-14.410157000001163,-33.160156000001734,,-0.018998999999997324,-19.10009700000046,129.65039099999922,-107.08007799999905,256.26001
2019-01-11,-0.8200080000000298,1.419983000000002,14.600097000000005,38.810059000000365,128.90039099999922,,-0.213001000000002,,-24.75,63.25,257.679993
2019-01-14,0.9600219999999808,-0.8200080000000298,-7.800048000000061,-39.43017599999985,-59.480468999998266,,-0.1769999999999996,38.5996099999993,-261.3496100000011,,256.859985
2019-01-15,3.0099800000000414,0.9600219999999808,4.790038999999979,23.360352000000603,33.58007799999905,,0.15999899999999911,21.900390000000698,311.66992200000095,290.46875,257.820007
2019-01-16,-0.8199769999999944,3.0099800000000414,29.64990200000011,102.35986299999968,225.80078100000173,,0.07000000000000028,16.099609999999302,199.16992099999698,-132.97070299999905,260.829987
2019-01-17,4.970000999999968,-0.8199769999999944,-5.469970999999987,-23.62011700000039,7.179687999996531,,-0.1099989999999984,31.400390000000698,-197.5800789999994,-141.96093799999653,260.01001
2019-01-18,-0.1600040000000149,4.970000999999968,41.98999099999992,123.95996100000048,387.0996090000008,,0.629999999999999,,97.37109400000918,193.25976599999922,264.980011
2019-01-22,-0.809996999999953,-0.1600040000000149,6.609862999999677,-24.52002000000084,73.57031300000017,,-0.2799990000000001,-15.599609999999302,-183.9511720000046,-147.15039099999922,264.820007
2019-01-23,-0.8000190000000202,-0.809996999999953,-14.39990299999954,-47.91992200000004,-30.509765999999217,,0.1700000000000017,21.10009799999989,128.28906299999653,140.28125,264.01001
2019-01-24,2.3999939999999924,-0.8000190000000202,-4.639892000000145,-19.3999019999992,2.7109380000001693,,-0.25,40.60009799999989,45.61132799999541,68.390625,263.209991
2019-01-25,-2.2199699999999893,2.3999939999999924,18.599853000000167,85.93017600000076,107.25,,0.45999899999999627,,286.30859399999827,174.91992200000095,265.609985
2019-01-28,0.5299979999999778,-2.2199699999999893,-12.469970000000103,-53.17041000000154,-90.2304690000019,,0.09000000000000341,-31.70019500000035,-118.84960900000442,-97.28906300000017,263.390015
2019-01-29,1.1799930000000245,0.5299979999999778,-0.08007799999995768,12.480468000001565,-77.36132799999905,,-0.04000100000000373,11.700195000000349,134.140625,109.20117200000095,263.920013
2019-01-30,2.410004000000015,1.1799930000000245,8.730224000000362,7.299804999999651,306.9003900000025,,0.010000000000001563,-13.900390000000698,71.43945299999541,-145.08007799999905,265.100006
2019-01-31,2.63998399999997,2.410004000000015,31.869872999999643,113.37988299999961,127.96093799999653,,-0.10999799999999738,-2.0,100.41992199999368,-59.41992200000095,267.51001
2019-02-01,-0.04000899999999774,2.63998399999997,16.830077999999958,48.20019500000035,70.83007800000269,,0.06999899999999926,,-262.53906300000745,-8.638672000000952,270.149994
2019-02-04,2.330016999999998,-0.04000899999999774,4.169922000000042,9.909667999999328,36.808593999998266,,-0.22000100000000344,105.10009799999989,4.7910159999955795,51.86914000000252,270.109985
2019-02-05,0.35000700000000506,2.330016999999998,21.85009799999989,90.06005900000036,225.81054700000095,,0.35000100000000245,23.699706999999762,,-116.02148400000078,272.440002
2019-02-06,-1.850007000000005,0.35000700000000506,6.709961000000021,44.10009699999955,83.640625,,0.16999999999999815,67.30029300000024,,-54.808593999998266,272.790009
2019-02-07,-2.1900019999999927,-1.850007000000005,-17.52001999999993,-83.93994099999964,-105.75976599999922,,-0.5900010000000009,-22.89990299999954,,-60.941405999998096,270.940002
2019-02-08,,-2.1900019999999927,-25.169922000000042,-84.20019500000035,-223.45117200000095,,-0.44999799999999723,,238.18945400000302,-177.33007799999905,268.75
